px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
13.4846	2.51696	5.12427	0.452193	0.321502	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	10.9551
13.7304	2.62017	5.13381	0.460148	0.309719	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.572924
13.95	2.74306	5.12708	0.483126	0.323572	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.296458
14.1746	2.88752	5.13448	0.510775	0.338415	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.245695
14.4198	2.98661	5.14823	0.501637	0.290658	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.59574
14.6343	3.05911	5.12137	0.4942	0.263816	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	2.77965
14.859	3.20447	5.13615	0.512159	0.261033	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	3.76339
15.0592	3.39269	5.14456	0.558073	0.304298	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.969091
15.268	3.56088	5.14864	0.592608	0.335231	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	2.28885
15.4757	3.74114	5.16083	0.625637	0.355689	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.575927
15.6895	3.87434	5.15702	0.632456	0.340139	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	1.01068
15.9107	4.01274	5.15993	0.638898	0.325859	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.256602
16.1063	4.18431	5.15564	0.673342	0.363153	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.6519
16.3009	4.37321	5.1655	0.703593	0.37798	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.348077
16.5109	4.53193	5.17126	0.711725	0.35959	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.713812
16.691	4.70346	5.1632	0.734325	0.366563	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.428938
16.8411	4.91985	5.15179	0.800505	0.460528	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.55523
17.0044	5.13694	5.16047	0.838885	0.479431	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.352921
17.1733	5.32066	5.15282	0.864185	0.489076	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.85613
17.3371	5.50167	5.14258	0.883382	0.483787	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.347032
17.4907	5.69157	5.13052	0.913571	0.504059	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	3.56596
17.6941	5.81815	5.10848	0.897606	0.455121	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	2.9044
17.8292	6.03638	5.10471	0.945146	0.5062	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	1.25971
18.0099	6.21414	5.10197	0.949384	0.479911	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.926263
18.1535	6.43055	5.10569	0.977149	0.485603	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.476847
18.2776	6.65423	5.10533	1.0101	0.496563	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.215254
18.4039	6.87818	5.10605	1.04245	0.511415	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.157046
18.5604	7.027	5.06894	1.0385	0.479712	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	4.02107
18.7065	7.23756	5.07258	1.04498	0.444935	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.511509
18.9132	7.37643	5.04818	1.01728	0.386129	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	5.56748
18.9897	7.60846	5.03409	1.07714	0.464937	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	4.784
19.0853	7.8462	5.03682	1.11182	0.478916	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	0.331587
19.2009	8.06512	5.03399	1.12903	0.467026	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.484349
19.2845	8.27524	5.01254	1.15689	0.475092	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	2.2542
19.3788	8.49773	5.0064	1.17345	0.455238	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.69302
